Indicator,Source_Type,Country,Disaggregation,Year,Value,Number of observations
"Small-scale food producers, share of total agricultural households (%)",Household level,Malawi,National,2004,64.599998,9871
"Small-scale food producers, share of total agricultural households (%)",Household level,Malawi,National,2010,51.599998,10251
"Small-scale food producers, share of total agricultural households (%)",Household level,Malawi,National,2013,50.799999,3180
"Small-scale food producers, share of total agricultural households (%)",Household level,Malawi,National,2017,51.200001,10318
"Small-scale food producers, share of total agricultural households (%)",Household level,Malawi,National,2020,55.5,9526
"Small-scale food producers, share of total agricultural households (%)",Household level,Mali,National,2014,54.900002,2438
"Small-scale food producers, share of total agricultural households (%)",Household level,Mali,National,2017,59.5,2471
"Small-scale food producers, share of total agricultural households (%)",Household level,Mali,National,2019,55.099998,3161
"Small-scale food producers, share of total agricultural households (%)",Household level,Mexico,National,2014,83.5,2289
"Small-scale food producers, share of total agricultural households (%)",Household level,Mongolia,National,2014,59.700001,6247
"Small-scale food producers, share of total agricultural households (%)",Household level,Mongolia,National,2018,65.199997,5690
"Small-scale food producers, share of total agricultural households (%)",Household level,Mongolia,National,2019,67.900002,3991
"Small-scale food producers, share of total agricultural households (%)",Household level,Mozambique,National,2009,51.599998,8415
"Small-scale food producers, share of total agricultural households (%)",Household level,Nepal,National,2011,51.400002,4585
"Small-scale food producers, share of total agricultural households (%)",Household level,Nicaragua,National,2014,83.400002,3874
"Small-scale food producers, share of total agricultural households (%)",Household level,Niger,National,2011,52.299999,2886
"Small-scale food producers, share of total agricultural households (%)",Household level,Niger,National,2014,50.400002,2343
"Small-scale food producers, share of total agricultural households (%)",Household level,Niger,National,2019,63.599998,3611
"Small-scale food producers, share of total agricultural households (%)",Household level,Nigeria,National,2013,58.299999,3024
"Small-scale food producers, share of total agricultural households (%)",Household level,Nigeria,National,2016,72,2801
"Small-scale food producers, share of total agricultural households (%)",Household level,Nigeria,National,2019,62.599998,3422
"Small-scale food producers, share of total agricultural households (%)",Household level,Pakistan,National,2014,59,5724
"Small-scale food producers, share of total agricultural households (%)",Household level,Panama,National,2008,85.599998,2489
"Small-scale food producers, share of total agricultural households (%)",Household level,Peru,National,2010,54.299999,9130
"Small-scale food producers, share of total agricultural households (%)",Household level,Peru,National,2014,54.599998,12335
"Small-scale food producers, share of total agricultural households (%)",Household level,Rwanda,National,2014,61.200001,12894
"Small-scale food producers, share of total agricultural households (%)",Household level,Senegal,National,2011,69.5,3480
"Small-scale food producers, share of total agricultural households (%)",Household level,Senegal,National,2019,61.700001,2934
"Small-scale food producers, share of total agricultural households (%)",Household level,Serbia,National,2007,64.099998,1989
"Small-scale food producers, share of total agricultural households (%)",Household level,Sierra Leone,National,2011,66.699997,4038
"Small-scale food producers, share of total agricultural households (%)",Household level,Sierra Leone,National,2018,90.099998,4568
"Small-scale food producers, share of total agricultural households (%)",Household level,South Africa,National,2015,72.099998,917
"Small-scale food producers, share of total agricultural households (%)",Household level,Timor-Leste,National,2008,53.200001,4336
"Small-scale food producers, share of total agricultural households (%)",Household level,Togo,National,2019,62.400002,3498
"Small-scale food producers, share of total agricultural households (%)",Household level,Uganda,National,2010,53.5,2401
"Small-scale food producers, share of total agricultural households (%)",Household level,Uganda,National,2011,50,2186
"Small-scale food producers, share of total agricultural households (%)",Household level,Uganda,National,2012,46.799999,2206
"Small-scale food producers, share of total agricultural households (%)",Household level,Uganda,National,2014,55.200001,2452
"Small-scale food producers, share of total agricultural households (%)",Household level,Uganda,National,2016,52.200001,2561
"Small-scale food producers, share of total agricultural households (%)",Household level,United Republic of Tanzania,National,2009,61.200001,2298
"Small-scale food producers, share of total agricultural households (%)",Household level,United Republic of Tanzania,National,2011,61,2598
"Small-scale food producers, share of total agricultural households (%)",Household level,United Republic of Tanzania,National,2013,57.799999,3309
"Small-scale food producers, share of total agricultural households (%)",Household level,United Republic of Tanzania,National,2015,60.799999,2103
"Small-scale food producers, share of total agricultural households (%)",Household level,Viet Nam,National,2010,58.5,6434
